Size_SQFT,Bedrooms,Bathrooms,Age_Years,Distance_Subway_Miles,School_Rating,House_Price_K
2220,2,1.3,41,0.34,7,366.0
2269,1,1.0,52,0.48,4,305.18
1944,3,1.5,54,1.47,1,266.34
2452,4,2.8,35,0.24,3,428.86
1815,1,1.0,21,1.91,8,293.5
2622,2,1.6,52,0.82,8,401.79
1292,3,2.9,1,0.65,2,283.66
2175,5,3.7,12,2.47,7,422.72
3263,1,1.0,10,1.06,1,460.6
1499,3,2.3,11,0.71,4,299.19
1693,2,1.1,32,3.16,7,237.14
2408,2,1.1,21,0.69,4,385.26
2207,1,1.0,52,2.94,4,291.73
2310,1,1.0,8,1.05,7,348.8
2393,1,1.0,43,0.35,1,311.13
2480,4,2.8,6,1.42,5,452.07
2765,5,4.0,16,0.5,6,524.84
2345,3,2.3,9,0.24,7,384.49
1955,2,1.0,37,0.14,7,335.01
2503,2,1.1,58,0.42,7,371.74
3239,5,3.8,38,2.0,2,508.49
2020,1,1.0,50,2.73,6,276.66
1515,1,1.0,45,2.97,9,218.79
2764,2,1.2,24,0.47,7,443.63
2027,5,3.3,26,1.62,7,385.74
796,2,1.6,29,0.39,2,184.86
2608,1,1.0,29,1.46,7,396.8
1778,3,3.0,42,3.27,9,297.49
2045,1,1.0,33,0.1,3,295.17
2299,3,2.8,32,6.32,2,309.14
2214,4,3.1,31,2.63,6,402.88
2525,5,4.0,57,2.15,2,397.78
1838,4,3.7,41,1.76,1,312.64
2407,1,1.0,11,2.21,10,383.48
1944,5,3.0,40,7.83,4,292.2
2543,1,1.0,22,2.21,9,389.03
2469,5,2.8,57,0.65,10,446.39
1538,5,4.0,28,1.43,3,320.53
2751,1,1.0,42,0.62,3,384.17
1778,1,1.0,0,5.26,6,207.24
2584,5,3.5,19,3.46,6,471.55
2320,5,3.2,9,1.26,8,450.37
3202,1,1.0,18,2.28,10,470.32
1965,1,1.0,58,3.61,6,282.72
1890,2,1.5,22,0.42,8,328.1
2088,2,1.7,20,1.3,8,390.99
1918,2,1.8,56,0.99,7,317.64
2579,4,3.2,42,2.21,5,423.11
1130,5,3.6,34,0.71,4,290.51
1467,3,2.5,58,1.85,1,219.89
1459,4,3.1,47,0.77,6,274.5
2670,5,3.8,31,0.18,8,478.8
3126,3,1.7,53,0.17,4,479.04
2037,2,1.0,9,0.19,7,345.96
1998,3,2.4,1,0.1,3,347.03
2142,1,1.0,50,1.14,5,302.15
2797,1,1.0,35,1.67,7,406.22
1543,5,4.0,47,0.2,9,355.77
2243,4,4.0,5,1.42,9,452.22
2685,2,2.4,42,1.37,7,428.55
2400,5,3.6,16,0.24,4,461.98
2213,2,1.3,14,0.78,6,365.82
2700,1,1.1,53,2.11,4,344.18
500,4,3.3,35,0.1,3,200.36
2506,4,2.4,23,0.24,9,462.68
1707,1,1.0,56,8.22,5,148.56
1001,3,2.6,39,1.98,8,245.72
2406,4,2.6,55,0.94,3,388.51
2924,3,1.9,28,1.49,9,479.41
2017,2,1.2,49,2.81,1,260.32
2671,4,2.8,13,2.77,2,441.92
3067,1,1.0,57,0.59,4,386.64
2888,3,2.6,1,1.01,2,489.84
3083,2,1.1,47,1.52,9,421.1
2545,2,1.6,21,0.11,7,397.64
2145,4,3.0,46,4.37,2,321.94
1138,4,2.5,52,0.85,4,231.89
1952,5,2.9,5,0.7,6,401.02
1594,5,3.8,8,3.56,2,307.15
3402,4,2.8,11,0.19,9,568.5
1994,5,4.0,41,0.1,3,390.09
2173,1,1.2,38,1.73,2,295.95
2430,1,1.0,4,0.73,4,388.03
2126,5,3.6,57,2.17,5,370.72
3117,4,3.5,54,0.11,4,488.31
1726,1,1.5,39,0.73,3,273.87
2216,2,1.0,58,0.4,3,292.3
1654,4,3.6,43,2.02,3,262.2
1307,3,1.7,0,0.39,3,255.5
1732,3,2.6,9,0.92,6,335.58
2077,4,2.7,10,2.56,4,373.45
1842,5,4.0,26,3.7,7,315.77
1684,1,1.0,22,1.92,7,271.29
1256,1,1.0,19,0.84,4,215.13
2050,4,2.7,4,1.27,1,371.6
1197,2,1.8,12,1.76,9,227.38
2556,5,3.5,49,3.12,7,464.33
2149,2,1.0,9,3.29,6,331.72
1225,4,2.4,52,4.01,5,198.08
1914,4,2.6,56,2.5,9,337.92
1648,2,1.1,48,0.24,9,315.01
2291,3,2.5,50,2.07,10,360.9
2904,4,2.8,35,2.53,6,435.76
974,5,3.6,40,3.15,8,246.37
2169,2,1.4,49,3.88,7,303.01
2003,3,2.5,15,1.07,1,351.3
2502,2,1.8,6,1.6,2,406.51
2227,3,2.0,31,0.1,9,413.05
1648,3,2.1,24,1.28,10,308.53
1908,5,4.0,43,0.96,4,352.03
1622,4,2.7,25,4.92,3,255.7
2745,3,2.0,35,3.48,2,396.38
2112,4,3.3,52,2.4,8,375.28
3240,5,3.5,27,0.1,7,580.01
2063,4,3.1,43,0.77,9,398.35
1674,1,1.0,11,1.79,3,251.35
1191,3,2.5,25,0.1,1,243.86
1018,5,3.6,3,0.4,9,299.01
1149,2,1.7,43,3.28,5,195.64
2260,5,4.0,22,0.21,5,431.74
2405,3,2.1,39,0.1,3,405.59
1151,5,3.0,23,1.3,8,308.12
2637,2,1.3,30,4.39,8,401.82
1810,1,1.4,29,2.7,1,251.92
2188,3,2.3,2,5.52,4,338.75
3067,3,1.7,15,2.1,6,470.13
2638,5,3.7,33,0.86,9,481.05
1938,4,3.2,37,4.4,2,298.44
1565,4,2.9,27,0.83,7,345.21
808,2,1.4,48,0.65,10,174.68
1668,1,1.0,43,0.89,1,236.07
1973,1,1.0,40,2.52,10,274.53
1507,5,3.9,47,3.75,4,287.97
2021,5,4.0,6,0.66,10,437.9
2146,4,2.9,7,0.93,7,422.32
1965,1,1.0,6,3.43,3,268.72
1709,1,1.1,52,0.1,3,249.55
2201,1,1.0,36,2.3,4,312.25
2365,2,1.6,54,0.91,8,367.61
1445,2,1.8,6,0.71,3,296.33
2946,5,3.1,49,0.89,8,492.5
2040,4,3.1,17,0.81,10,404.02
2111,3,1.0,47,2.12,9,358.87
2524,4,2.9,38,3.95,8,398.74
2239,2,1.8,20,1.01,8,372.42
2671,2,1.7,33,2.68,9,409.79
2272,5,4.0,48,1.97,4,393.12
1732,3,2.4,56,0.6,3,285.2
2316,1,1.0,26,1.33,8,345.9
1413,3,1.5,7,1.65,1,279.7
2165,3,2.3,33,0.1,10,397.96
2080,3,2.5,17,0.76,1,343.5
1975,5,2.9,50,7.37,4,278.16
2022,2,1.7,51,1.52,10,336.02
970,1,1.0,40,0.61,3,189.1
1770,3,2.1,11,0.43,10,361.98
2155,1,1.0,21,0.35,2,309.71
2195,3,2.1,50,0.77,9,404.05
1483,2,1.3,39,0.32,5,262.97
2859,1,1.0,21,0.22,3,412.13
1580,4,3.2,7,0.68,9,363.97
2681,2,1.0,41,1.4,8,383.51
2356,1,1.0,27,0.24,4,352.63
1712,3,2.5,49,0.1,10,346.47
3165,3,2.2,46,0.1,5,502.12
1383,2,2.4,55,0.47,5,240.08
2651,2,1.8,31,0.32,8,430.4
2700,3,2.6,10,1.16,7,476.66
1697,1,1.2,20,0.91,3,269.33
2935,4,2.9,25,0.59,6,504.98
1949,5,3.5,13,2.69,6,387.69
2273,2,1.0,14,1.05,2,338.97
2256,3,1.5,13,0.14,1,359.87
2019,1,1.3,11,0.53,7,356.11
2586,2,1.2,35,5.44,3,284.02
2576,1,1.2,2,5.66,5,331.62
1050,2,1.0,43,0.44,8,195.49
2882,3,2.2,56,0.27,5,455.73
1102,1,1.4,57,1.03,5,198.85
2719,3,2.4,6,0.99,5,442.86
2776,1,1.0,38,0.79,7,444.69
1445,2,1.2,53,1.13,2,240.14
1853,5,3.3,56,0.4,1,338.82
1436,5,3.7,50,0.18,4,334.69
1971,4,2.4,45,1.27,5,334.69
1915,4,2.9,0,4.05,7,351.13
2567,3,2.7,38,0.22,1,409.02
2886,1,1.0,24,1.83,9,414.8
2937,4,3.3,30,0.86,10,491.86
1762,2,2.0,21,0.52,4,294.39
1974,5,3.6,9,2.88,6,383.26
1089,1,1.0,17,0.91,1,193.26
1616,5,3.5,12,1.31,9,368.55
2678,1,1.0,7,0.88,4,375.74
3069,4,3.4,8,0.13,5,536.45
1359,4,3.4,57,1.36,8,304.36
1744,3,2.4,14,0.81,6,327.47
2084,1,1.1,7,0.14,10,393.81
2268,2,1.6,56,1.36,3,335.1
1614,4,2.4,32,0.1,10,335.1
2354,3,2.8,34,0.35,8,404.4
1815,4,2.6,18,2.28,6,337.45
2091,5,3.7,29,0.1,2,395.78
2427,4,3.4,8,1.56,5,398.63
2103,1,1.0,18,4.48,3,262.95
1838,3,2.6,46,0.28,4,313.1
2034,1,1.0,45,0.81,9,346.75
2046,2,1.8,25,1.29,3,326.62
1877,2,2.1,0,0.9,5,328.61
1944,4,2.6,2,1.45,8,383.75
3059,3,1.8,33,0.78,9,495.76
2436,3,2.3,24,0.24,7,417.62
1922,3,1.8,29,0.14,4,330.07
2518,3,1.2,0,2.05,9,421.33
1899,4,3.0,58,0.41,2,333.85
2803,1,1.0,17,2.82,2,353.29
2321,4,2.8,32,2.04,4,370.25
2035,1,1.0,8,0.1,2,307.76
2368,5,4.0,6,0.34,3,438.83
1157,5,3.6,29,0.52,5,283.13
1423,1,1.0,12,1.35,3,248.48
1383,4,3.0,16,2.49,1,283.91
2185,2,1.3,12,0.1,3,363.57
3139,4,2.8,12,0.43,6,533.19
3438,2,2.4,41,0.71,3,480.31
2482,4,3.1,59,0.3,9,401.88
2400,3,2.1,37,1.18,3,377.43
1019,3,2.9,36,0.98,3,225.29
1774,5,4.0,9,0.57,3,368.77
1627,5,4.0,13,1.09,5,345.64
1727,1,1.0,42,0.66,7,256.68
1999,2,2.9,4,0.63,5,365.64
1816,3,1.5,35,0.46,9,340.69
912,4,2.1,34,1.17,6,247.21
2548,1,1.0,45,0.88,1,327.2
1456,4,2.8,44,0.33,9,314.31
2243,3,1.0,55,0.1,3,344.28
3344,3,2.2,22,0.25,8,529.54
1548,3,2.3,4,0.1,3,326.99
581,3,2.2,43,0.85,8,200.82
1928,4,3.2,56,0.38,4,327.43
2760,1,1.0,27,0.82,1,372.98
3275,3,2.2,22,0.6,6,535.08
1362,5,4.0,41,1.16,7,321.62
2398,1,1.2,33,1.93,8,356.96
1820,5,3.6,30,0.98,6,378.87
2036,4,3.3,6,0.1,1,396.21
3686,3,2.7,6,0.1,5,589.23
1198,1,1.0,3,0.36,9,260.27
2252,3,2.4,43,0.83,3,360.05
2380,3,2.3,31,0.1,5,422.9
2751,1,1.1,27,0.6,6,403.43
2158,3,1.8,55,3.27,5,313.82
2284,3,2.2,3,0.14,4,430.36
1865,2,1.1,38,4.45,2,245.89
2261,2,1.7,51,2.91,5,316.61
1894,1,1.0,44,2.67,10,294.47
2472,1,1.0,7,2.99,1,338.7
1878,3,2.3,13,0.13,1,325.4
2326,5,3.3,29,0.25,8,454.68
2082,1,1.0,2,0.22,4,328.56
2775,3,2.8,1,0.18,1,485.55
2069,5,3.4,9,0.6,2,406.53
1036,2,1.0,5,2.66,5,189.35
2857,1,1.0,54,0.44,7,398.54
1556,3,2.2,6,0.42,5,330.34
1707,2,2.3,15,1.69,10,309.28
1742,4,2.9,5,0.15,6,413.08
2924,2,1.8,15,0.67,7,442.09
818,3,2.1,26,0.53,3,216.01
3982,5,3.8,55,2.82,10,605.79
2733,4,2.9,11,1.08,5,458.1
2233,4,3.3,21,1.56,8,423.62
2067,4,2.4,14,0.21,6,391.55
2271,1,1.0,21,3.97,2,317.04
2412,3,2.3,34,0.58,9,397.29
2487,4,3.2,59,1.84,2,389.6
2433,2,1.0,47,4.64,6,314.6
2153,5,3.5,49,1.07,2,380.9
1981,3,2.6,14,1.06,10,392.55
2009,2,1.6,22,0.19,7,326.29
1983,1,1.6,37,0.74,1,288.97
2780,4,2.7,48,2.87,4,434.12
2456,2,1.0,1,0.22,8,428.32
500,3,2.0,1,3.74,9,168.76
2493,2,1.0,48,1.65,10,359.81
2216,1,1.1,18,0.82,3,340.41
2088,5,3.7,4,1.19,9,468.36
1866,4,3.2,3,0.24,8,410.62
2774,3,2.5,27,0.37,4,464.29
2668,4,3.5,17,0.51,1,464.54
1636,4,1.7,39,0.73,10,327.51
2344,4,2.0,40,3.71,5,361.18
1517,2,1.1,55,0.69,7,268.82
1272,2,1.3,54,1.11,5,190.42
1723,5,3.8,57,0.27,5,355.87
2617,1,1.0,49,2.0,5,369.81
2671,3,2.3,30,1.23,3,414.07
2407,2,1.0,21,0.87,6,393.92
2535,4,2.6,10,4.41,4,390.95
2409,1,1.0,47,3.32,10,337.3
1715,3,2.2,15,1.62,2,297.32
2359,3,2.0,3,3.82,4,376.72
2580,3,2.4,20,1.25,6,426.09
2552,3,1.7,40,2.63,6,359.59
2813,5,3.5,44,0.79,9,487.15
2524,3,2.5,24,0.14,8,471.3
2310,1,1.0,19,7.71,5,278.08
2742,2,1.3,7,0.27,10,431.72
2084,1,1.0,42,0.43,3,319.39
1570,4,2.8,52,0.27,4,284.41
2002,5,3.6,8,0.62,5,425.85
1653,5,3.5,17,0.51,1,363.0
1694,4,2.8,30,1.38,9,347.37
2013,1,1.0,51,8.47,4,179.26
1624,1,1.0,34,0.1,8,270.82
1915,4,2.3,54,2.26,5,326.94
963,3,3.1,29,0.21,5,223.96
2227,3,2.0,17,0.1,2,368.83
2100,2,1.7,18,1.53,8,364.06
1609,1,1.0,40,3.1,10,239.21
2495,1,1.5,23,0.29,7,413.89
2662,4,3.3,49,0.63,2,410.21
1135,4,3.2,21,0.28,6,238.81
1642,3,2.2,47,3.55,9,267.15
1638,1,1.0,13,0.47,8,300.2
1536,1,1.6,18,0.88,10,303.29
2597,5,4.0,59,3.38,3,397.87
1983,2,1.3,28,1.21,7,325.0
1941,2,1.7,21,4.05,4,284.08
897,3,1.6,29,3.91,4,194.67
2481,1,1.0,14,0.93,7,391.09
1356,5,3.8,20,1.31,7,321.66
2135,1,1.0,25,0.39,1,342.38
2266,4,2.8,35,6.99,1,303.25
2916,3,2.2,11,0.49,6,451.17
1314,2,1.0,6,2.29,2,204.64
500,1,1.0,10,0.56,3,143.62
2210,3,1.7,57,0.56,2,308.22
3180,2,2.0,38,0.16,2,466.73
2843,1,1.0,19,1.23,8,414.53
2225,5,4.0,34,0.42,8,457.51
1805,3,1.4,3,0.24,6,352.82
2584,1,1.0,1,0.39,3,370.13
1515,2,2.2,19,0.43,5,302.21
2385,2,1.6,46,1.05,7,388.33
2403,5,4.0,19,0.73,5,435.26
2736,3,2.1,11,0.12,7,457.08
3755,3,2.4,52,1.15,10,571.81
2335,1,1.6,16,2.32,7,365.78
1794,2,2.6,17,1.28,4,347.68
2084,2,1.7,39,5.51,10,313.25
1038,5,3.2,23,0.16,10,347.36
1683,5,4.0,7,2.58,6,360.69
1854,3,1.6,36,1.06,9,342.8
1785,2,1.2,55,1.11,4,260.47
2191,1,1.0,40,1.1,10,334.95
1606,4,4.0,29,0.59,1,319.71
2772,1,1.5,19,0.59,8,421.71
2100,5,4.0,51,1.5,4,339.77
2094,1,1.2,22,0.1,8,339.53
1903,2,1.0,36,1.33,9,334.75
2193,3,2.4,58,1.93,8,353.65
2595,4,3.9,9,0.66,1,451.45
1579,3,2.5,32,0.37,9,313.1
1705,4,3.5,23,0.36,5,356.89
1917,4,2.2,35,0.13,8,397.47
1292,2,1.9,55,0.14,6,259.42
1608,2,1.0,15,0.27,7,308.22
1814,5,3.6,49,0.1,3,340.51
2624,5,4.0,27,0.46,9,524.29
2257,4,3.2,11,0.55,9,458.41
2216,5,4.0,19,8.02,10,347.34
2610,2,1.4,46,7.19,2,267.89
2017,5,2.8,17,0.31,4,376.4
2334,4,2.5,36,0.36,4,394.6
2038,3,2.6,57,1.02,1,326.31
2259,1,1.0,25,0.24,4,356.38
1750,5,4.0,45,1.05,3,346.53
636,2,1.6,55,0.76,2,127.12
2019,3,1.8,58,0.59,6,367.44
2953,2,1.5,6,2.59,3,429.02
2655,5,4.0,42,2.64,10,467.09
2679,4,2.1,46,6.62,9,373.65
2841,1,1.0,20,0.38,9,473.64
2153,1,1.0,42,3.29,8,311.15
2218,3,2.3,31,1.16,8,370.0
1729,1,1.1,6,1.34,2,255.32
1910,4,3.3,52,3.4,6,294.65
2469,2,2.2,22,4.29,4,347.84
2822,4,3.1,19,1.95,10,468.65
2016,3,2.5,19,0.64,2,331.55
1829,3,2.5,31,1.01,2,328.7
2100,1,1.0,25,1.43,10,353.22
2460,4,2.9,35,2.65,7,431.91
1233,2,1.0,58,1.61,1,155.28
722,4,3.2,23,0.68,8,227.05
1769,2,1.0,0,0.81,5,308.19
1367,2,1.9,57,0.1,10,290.91
1795,4,3.8,52,3.87,8,316.31
2011,5,4.0,27,0.14,2,420.43
1828,4,3.3,25,1.3,1,341.17
2971,2,2.1,33,3.08,2,402.54
2296,3,2.0,25,0.82,6,399.3
2280,3,1.6,35,2.42,4,321.71
2473,1,1.0,4,2.44,8,348.47
1416,3,1.9,55,0.1,9,287.69
2723,5,3.8,1,0.8,9,524.67
2054,2,1.6,31,1.76,5,350.61
2502,4,2.8,33,0.82,6,411.31
1456,4,2.6,49,1.18,7,298.03
1167,5,2.7,29,1.35,4,283.11
2590,3,2.2,23,0.25,10,461.68
2325,2,1.3,27,0.8,3,372.43
1558,3,2.1,45,0.1,2,266.37
1578,1,1.1,2,0.24,10,323.35
2775,3,3.2,52,1.08,4,433.93
1386,1,1.0,49,1.28,9,249.31
3085,4,3.2,53,0.24,5,484.36
1559,2,1.6,9,2.11,1,237.8
2483,1,1.3,5,0.7,5,379.13
1902,3,1.8,33,3.8,6,283.38
2461,3,1.8,30,0.74,10,417.13
1773,4,2.6,51,0.24,6,330.09
2002,5,2.6,42,2.13,5,343.47
2124,5,3.7,49,1.26,8,402.76
1498,3,1.7,45,0.73,5,254.36
2544,5,3.9,57,0.66,10,464.72
1792,2,1.0,51,0.25,3,268.88
1962,5,3.7,12,0.63,3,393.62
1503,2,1.4,58,0.1,4,252.71
562,3,2.0,38,1.05,10,183.28
1985,3,2.7,52,3.41,8,306.11
3547,3,1.8,57,2.38,9,499.74
2570,4,3.2,19,0.1,7,484.44
2088,5,3.4,31,3.2,2,375.6
1942,1,1.6,9,0.9,9,333.31
2113,1,1.0,25,0.32,6,332.49
2428,3,2.6,18,2.09,6,377.3
1391,5,4.0,28,0.58,6,329.83
2768,2,2.1,12,0.44,1,401.6
2529,1,1.0,53,0.26,9,370.62
2530,3,1.6,33,1.0,6,422.47
2363,1,1.0,19,0.15,7,354.08
2111,1,1.0,43,2.31,1,257.76
2503,1,1.0,39,0.95,5,344.34
2455,3,1.4,17,0.89,3,369.32
1887,3,2.6,56,0.1,9,359.45
1755,4,3.7,33,2.55,2,314.81
2161,4,3.0,47,1.02,4,396.65
3029,4,3.4,7,0.87,3,491.57
1356,1,1.0,15,2.15,9,218.41
1219,5,3.8,39,0.1,3,306.06
2198,3,2.2,22,0.69,1,354.63
2130,4,3.0,31,1.29,8,388.43
2204,5,3.9,12,0.93,1,434.94
2246,4,2.8,25,0.3,1,391.5
1966,4,3.6,37,0.53,7,394.49
2993,5,3.2,0,0.54,9,545.51
1139,4,3.9,1,7.24,4,207.21
1602,1,1.0,38,0.59,10,274.36
2038,1,1.0,12,0.34,4,335.89
1114,1,1.0,26,2.59,5,182.52
1994,2,1.7,3,0.82,5,356.12
3096,4,2.8,40,0.88,2,438.02
2112,2,1.3,50,1.19,9,308.95
2238,3,2.6,19,1.36,10,375.8
1343,5,4.0,2,1.34,9,347.91
1730,3,1.7,22,0.1,9,324.86
1874,2,1.9,1,2.56,9,362.78
1909,1,1.4,15,0.33,1,296.9
2868,4,2.1,9,0.52,8,505.1
2434,4,2.6,27,0.29,8,426.78
1433,1,1.4,43,2.19,4,193.53
2247,4,3.2,17,1.31,10,455.64
2398,5,4.0,1,2.11,1,458.47
2784,5,3.7,13,1.59,1,477.86
3048,5,3.5,43,0.16,1,463.94
1490,3,2.9,19,0.54,3,289.87
1613,1,1.0,55,1.06,10,266.58
1345,5,3.6,55,0.55,3,283.49
1959,2,1.8,55,0.35,4,273.17
2379,5,4.0,39,3.06,2,420.42
2692,3,1.9,22,2.07,9,427.16
2054,2,1.6,53,0.64,10,322.39
1908,1,1.0,59,2.17,9,275.24
2191,1,1.0,6,1.48,10,383.11
1598,5,3.5,44,0.1,7,358.16
3353,2,1.0,46,0.72,2,437.3
1135,2,1.2,13,0.51,3,204.46
2210,5,3.1,36,0.37,8,395.2
3314,5,4.0,7,0.43,9,592.51
2104,4,3.2,49,4.28,4,316.83
1985,4,3.8,4,1.0,9,423.83
1885,5,3.3,22,2.82,4,342.51
1991,3,2.3,40,0.36,2,345.28
2923,4,2.4,9,0.29,7,519.02
772,5,3.4,48,3.29,9,207.88
3020,2,1.3,26,1.03,2,438.15
1245,4,4.0,56,3.38,8,274.02
1940,3,2.4,34,0.1,6,338.99
1842,1,1.0,0,3.72,9,293.22
2453,2,2.0,6,0.81,5,401.42
1141,3,2.6,46,0.25,1,217.73
2377,3,2.2,50,1.73,5,378.6
3314,3,2.6,7,2.39,10,547.67
1282,2,1.3,10,0.1,7,278.75
2213,3,3.7,33,6.54,7,333.2
1702,1,1.4,51,1.79,4,232.61
2355,4,2.8,27,0.58,10,447.04
2111,2,1.9,33,0.25,6,333.75
1715,3,2.5,42,0.75,6,350.42
2392,5,3.9,19,0.37,10,501.7
3182,4,3.3,27,1.02,10,555.39
1985,2,1.1,48,2.28,1,274.57
2531,5,3.5,41,1.62,5,442.73
1324,5,4.0,36,0.86,7,294.43
1526,3,2.4,2,0.19,5,304.38
2383,2,1.1,8,4.73,8,336.9
2990,3,2.2,51,0.47,1,435.26
2313,1,1.0,21,0.49,9,370.72
1912,5,4.0,24,1.56,2,378.76
2099,1,1.0,1,2.21,8,325.17
1349,3,2.3,22,6.22,5,228.16
2462,4,2.7,50,5.22,10,367.6
2629,5,4.0,16,3.68,7,452.35
1828,4,3.3,56,0.86,7,355.79
1817,2,1.8,24,0.27,1,306.24
2259,5,4.0,11,1.32,8,432.76
1837,1,1.0,26,0.1,3,304.52
2060,4,3.8,19,0.33,4,397.44
3359,2,1.5,8,0.1,3,473.45
1951,5,4.0,22,0.3,2,375.39
1884,2,1.3,35,0.97,7,308.47
1711,1,1.1,27,0.75,10,283.24
2546,5,3.8,49,0.69,5,466.23
1991,2,1.6,47,2.67,7,294.73
1710,3,1.4,28,1.69,1,283.52
2892,5,3.3,52,4.13,10,467.03
2951,5,4.0,55,0.88,2,485.19
1739,5,3.1,41,0.48,6,381.35
980,5,4.0,57,0.2,6,274.79
2704,3,3.5,53,1.67,3,433.21
1689,1,1.0,31,2.77,10,280.26
2574,3,3.3,11,0.3,1,431.44
917,3,2.6,29,3.16,3,189.8
2635,2,1.6,59,1.12,4,332.24
1373,4,3.2,10,0.23,1,294.17
2538,4,2.9,36,1.54,7,429.13
2108,2,1.4,19,1.1,3,340.19
1527,3,2.0,10,0.1,8,328.73
1855,2,1.7,47,0.76,7,312.93
2511,5,4.0,46,2.3,6,412.12
2163,2,2.2,37,1.22,8,333.71
2450,2,1.6,44,0.5,9,376.17
3285,5,4.0,15,3.96,2,533.35
1161,4,3.0,58,0.41,10,259.07
3070,5,4.0,34,0.44,9,534.17
2162,1,1.0,49,0.66,10,339.01
1560,2,2.5,0,3.37,5,252.92
1301,2,1.2,24,1.06,1,208.18
1986,4,2.8,48,1.72,1,332.5
2652,3,1.6,26,5.61,7,369.65
2023,5,3.8,51,2.29,6,392.74
3006,3,1.9,31,0.28,10,471.11
1229,1,1.3,5,2.33,9,233.38
2092,5,4.0,40,2.07,1,357.73
1348,1,1.0,35,0.4,10,253.93
2318,1,1.0,38,0.59,10,347.3
2632,1,1.0,22,1.86,10,392.26
1847,5,3.3,28,0.41,10,414.24
537,5,3.6,29,0.35,7,229.05
2219,4,2.6,21,1.82,8,387.6
2362,2,2.1,56,3.19,10,382.59
2342,3,2.0,10,0.12,4,407.44
2841,3,2.5,25,0.89,1,444.55
1457,1,1.0,22,1.4,3,241.93
2508,5,2.8,2,1.69,2,441.01
2815,5,4.0,47,8.36,3,368.12
1032,1,1.0,5,1.72,6,207.27
2291,2,1.1,6,1.45,10,383.29
1797,3,2.6,43,6.87,3,240.45
2051,4,3.1,38,0.1,10,403.07
2308,2,1.3,53,0.12,4,361.68
1807,5,2.9,50,1.23,1,303.99
1694,1,1.2,21,0.67,6,296.33
2120,3,2.5,47,0.15,2,354.24
1447,1,1.0,49,0.55,4,219.35
1448,5,3.3,41,1.68,5,314.78
2507,1,1.3,32,3.19,5,346.34
1410,3,2.4,39,0.15,4,285.31
2499,1,1.0,2,1.17,3,383.44
2377,3,1.9,29,0.53,4,390.54
1064,1,1.7,47,1.65,3,158.39
1693,1,1.3,23,1.2,3,254.35
2816,3,2.3,2,3.92,4,424.12
1511,1,1.0,1,0.1,9,312.0
1821,2,1.0,43,0.95,9,317.22
2377,4,3.7,39,0.32,8,452.3
2570,2,1.3,18,1.15,4,409.75
1949,4,2.6,23,2.88,2,323.65
1741,2,1.9,49,3.63,9,299.61
2953,4,2.7,19,0.76,6,495.51
3143,1,1.0,56,2.51,8,409.93
2687,3,2.5,46,0.49,4,424.75
2151,3,1.5,48,0.1,8,375.8
1615,5,3.7,49,2.9,6,300.69
1601,4,3.2,30,0.19,6,335.54
2413,5,3.6,49,0.1,6,433.52
2351,5,3.6,40,0.65,9,450.39
2940,4,3.8,57,0.72,1,463.67
2490,3,3.0,30,0.12,1,399.4
1198,4,2.5,36,2.52,5,253.28
2731,1,1.0,42,0.78,1,343.94
1501,5,3.5,28,1.01,10,368.97
1869,5,3.7,3,0.46,9,416.62
2250,4,3.0,57,1.07,4,364.45
3297,5,4.0,9,2.18,2,543.29
3965,3,2.2,35,3.55,3,544.11
2464,5,3.2,54,5.29,9,389.36
1990,4,2.7,34,0.83,8,365.26
2420,3,2.4,56,6.91,3,289.54
2632,3,2.1,47,0.52,8,429.45
1907,5,3.9,20,0.1,4,403.06
3177,4,2.9,42,2.19,6,478.04
2238,5,4.0,40,0.29,4,408.43
2398,1,1.0,0,0.1,5,390.58
2499,1,1.0,41,3.87,10,344.51
2352,3,2.1,11,2.35,9,408.5
2603,5,4.0,23,0.16,2,427.84
1729,1,1.4,1,2.25,9,299.33
1765,2,1.0,46,2.79,3,259.36
1439,1,1.6,55,3.54,5,183.12
2363,5,3.8,19,1.18,7,459.62
2567,5,3.5,15,1.82,2,426.07
2374,1,1.0,33,2.15,4,304.26
3104,5,3.8,12,1.75,1,516.23
2096,5,4.0,17,1.56,3,398.45
2501,2,1.6,28,1.19,6,384.44
1444,3,2.4,53,0.98,2,260.95
1867,5,4.0,50,8.33,8,284.49
2517,4,2.8,42,0.62,7,424.58
2609,3,2.4,13,0.14,3,423.96
1923,3,2.5,29,2.17,1,292.28
2057,4,3.1,57,0.36,10,394.91
1189,1,1.0,34,1.14,4,192.14
1885,2,1.2,8,0.15,4,347.22
2634,5,4.0,36,1.45,5,415.64
2445,1,1.0,45,4.32,3,309.37
2400,4,3.2,38,1.92,2,391.95
2129,2,1.6,11,0.36,2,347.07
2104,2,1.2,20,5.32,8,285.32
1703,2,2.3,17,0.55,7,297.36
2519,4,3.9,10,0.86,1,449.25
2352,1,1.0,26,1.03,9,372.73
2395,5,4.0,23,7.02,3,368.14
1784,2,1.4,40,0.11,3,288.3
807,2,1.2,42,1.79,1,151.63
2758,1,1.0,49,0.67,4,369.92
1812,2,1.9,33,0.12,10,333.61
1582,2,1.6,19,4.1,2,228.82
2516,4,2.8,12,1.34,3,426.08
1864,3,2.9,46,2.1,1,310.82
2735,1,1.4,7,0.41,3,392.95
2470,1,1.0,36,2.15,4,307.5
